,Name,avg_yearly_returns,yearly_variance
202,GILD,0.17234288105826442,0.14706079501480984
203,GIS,0.04967026427868049,0.009027190886714272
204,GLW,0.18583744654881654,0.06876064082881891
205,GM,0.08261910766553805,0.03982173317943136
206,GOOG,0.20428364266440502,0.04714848360945994
207,GOOGL,0.2009244657832353,0.052879707778111684
208,GPC,0.07147688894078295,0.02905953328621162
209,GPN,0.2874899767894916,0.04102463181292621
210,GPS,0.04246500117515417,0.09382236975750195
211,GRMN,0.11306473247320259,0.048372760024608163
212,GS,0.10051322498812353,0.023779619552423047
213,GT,0.18955205754318552,0.08308879355050844
214,GWW,0.04089403502191461,0.020510670190784654
215,HAL,0.06540693365890594,0.09362553883513794
216,HAS,0.18080698078177507,0.018564677897573205
217,HBAN,0.1437417280047662,0.014459501818594992
218,HBI,0.19073793350458557,0.15517979998708303
219,HCA,0.19477629507713792,0.04429214902020196
220,HCN,0.0006404203144845869,0.045066002021356355
221,HCP,-0.09710861347981238,0.025049414907284136
222,HD,0.2020595021713526,0.023695917691250238
223,HES,-0.04127089638323465,0.06550767903195577
224,HIG,0.15944950292679927,0.03135770051761078
225,HII,0.3560471215895282,0.127541943747206
226,HLT,0.02167414050822116,
227,HOG,0.011401162803280906,0.06298312343232418
228,HOLX,0.12035314208584723,0.03196332581533613
229,HON,0.14501401274913525,0.018758345774881162
230,HP,0.03611534113832238,0.08011082719884105
231,HPE,0.08109989637080041,0.21461833529011062
232,HPQ,0.22942915433140187,0.04282589989523372
233,HRB,0.027530456706029677,0.03442303174656066
234,HRL,0.1282577791729727,0.057819659487606354
235,HRS,0.22660076851443176,0.03118211572541716
236,HSIC,0.09190583957363639,0.020616433565548743
237,HST,0.050918650037836695,0.051567045629757245
238,HSY,0.04631666327404779,0.02266502257299236
239,HUM,0.2205862518504602,0.012676352208961789
240,IBM,-0.03554555389749973,0.019027462471963047
241,ICE,0.16775667148438325,0.037523261012061424
242,IDXX,0.2629833227870179,0.05324526177523316
243,IFF,0.12498141837906405,0.01775642575742108
244,ILMN,0.36748746278997024,0.3063120385889121
245,INCY,0.41715387297068834,0.5381430529932227
246,INFO,0.14205266577730238,0.014299088384827331
247,INTC,0.14916087195669422,0.033708822119094685
248,INTU,0.18205115647460324,0.017471087052782955
249,IP,0.08174234349590319,0.05547289691133298
250,IPG,0.12224759836665781,0.04000205172773968
251,IQV,0.16629635544317117,0.013775309898588349
252,IR,0.10993707930232936,0.030750695597804124
253,IRM,0.014521237711601527,0.05347652050795774
254,ISRG,0.17426208693738496,0.1246756804902075
255,IT,0.16428619894173027,0.02287288114707175
256,ITW,0.18780860902118657,0.03446744463869571
257,IVZ,0.04633668179133918,0.03437940830127842
258,JBHT,0.10534055632046983,0.02611890922972626
259,JCI,0.048390139351169016,0.05126367097499457
260,JEC,0.07719818924918471,0.06350674792628386
261,JNJ,0.10401922567673409,0.013770746873628299
262,JNPR,0.025387113005487755,0.012761678608917873
263,JPM,0.16002171674269583,0.014711561687120945
264,JWN,0.00028545156915205035,0.04789465531339519
265,K,0.017725091342987307,0.005018390682363759
266,KEY,0.15429678064751268,0.041367755547845386
267,KHC,0.0162511950484401,0.032916007800387385
268,KIM,-0.04633236912702802,0.03845017480764058
269,KLAC,0.11166355308763065,0.01742958077560525
270,KMB,0.042271367426233886,0.010126672452483321
271,KMI,-0.05333821736793759,0.12216482316371713
272,KMX,0.10440469469316017,0.04540865287725655
273,KO,0.026998040799708998,0.0026123810274416323
274,KORS,0.08140222682213989,0.11930175796760864
275,KR,0.17211478262925942,0.11130188844505957
276,KSS,0.06331655354042458,0.023681091297161762
277,KSU,0.049430976510446145,0.06056917732894914
278,L,0.022911443083568944,0.019102552635522057
279,LB,0.04403542337207441,0.08300948397953332
280,LEG,0.08550719008458352,0.027886130569668332
281,LEN,0.09081710461765824,0.04593503027313143
282,LH,0.11233268935609984,0.007032770718623118
283,LKQ,0.11076554373633346,0.044477786244631896
284,LLL,0.1907060809749758,0.02812591732444536
285,LLY,0.07408961246260763,0.03603999875468603
286,LMT,0.276510047852271,0.0510732229846271
287,LNC,0.20884094045281018,0.09886230645286523
288,LNT,0.09225414451059555,0.024616984971788422
289,LOW,0.18183484573035677,0.02714048074051395
290,LRCX,0.2925086298286457,0.08908448870666341
291,LUK,0.009814236515618866,0.050591239461711755
292,LUV,0.3750052953619722,0.24763700830866342
293,LYB,0.10630826825824258,0.020817592991505023
294,M,-0.03632127668414975,0.09402051637308355
295,MA,0.23430209094520327,0.05632016424672226
296,MAA,0.057730363443672356,0.022192459202809142
297,MAC,0.010906285556609226,0.04121988677337142
298,MAR,0.2624933856479471,0.09296713247312513
299,MAS,0.16332338511923652,0.02039450418081518
300,MAT,-0.0976608725278615,0.06616203581820235
301,MCD,0.10921960690339799,0.033798903026430994
302,MCHP,0.15850426433330875,0.03865626754261497
303,MCK,0.10130635265246068,0.08640382323599435
304,MCO,0.2636474552471097,0.09756051382349357
305,MDLZ,0.08658898524083776,0.016936214602453474
306,MDT,0.10543420325568821,0.016642541362219744
307,MET,0.05592217314807027,0.04781235602919952
308,MGM,0.2156052088427902,0.10210604440127706
309,MHK,0.18465142414520588,0.03916664499157861
310,MKC,0.08467762717663317,0.002124546169076822
311,MLM,0.16169759156312755,0.064578647802436
312,MMC,0.15418912578292407,0.01978965504725076
313,MMM,0.16443839138845084,0.03221332992091619
314,MNST,0.2841619050381077,0.06955879145471275
315,MO,0.1234022814478037,0.014750142845574365
316,MON,0.03807369148709897,0.013339166293843432
317,MOS,-0.12463683263453094,0.02858814024990273
318,MPC,0.08082830304258247,0.01250315419885542
319,MRK,0.05854095381295741,0.01448105972666335
320,MRO,-0.07115674509198554,0.09219230808391858
321,MS,0.17326851513791927,0.04597485697463843
322,MSFT,0.22453962048367815,0.016303231685383862
323,MSI,0.09474639396125802,0.0070842689178587685
324,MTB,0.10402318555627206,0.01336080205334651
325,MTD,0.20586444862566575,0.024384324732060723
326,MU,0.5452892713362267,0.6526935630907964
327,MYL,0.08902059258432747,0.07715925309303077
328,NAVI,-0.04484817980842894,0.15283356640224235
329,NBL,-0.09419406860561542,0.05198486302723552
330,NCLH,0.15055924651136762,0.04816406812970745
331,NDAQ,0.18038180760004605,0.012984577002972125
332,NEE,0.13641662884246628,0.021188710456525067
333,NEM,0.0341190766551232,0.20028187512601595
334,NFLX,0.5508682311005629,0.28502672430322884
335,NFX,0.007848724442030303,0.042842826883272414
336,NI,0.028392324475218788,0.09535185276436366
337,NKE,0.1742006932497219,0.04477395526042931
338,NLSN,0.036461793610648253,0.03557530812214349
339,NOC,0.32847979900493685,0.047695763204594246
340,NOV,-0.08180949866133828,0.05440858058493222
341,NRG,0.13697597488430924,0.3965465984327604
342,NSC,0.14994250451989014,0.05441799539968478
343,NTAP,0.12512602260496722,0.10000446963444501
344,NTRS,0.11093435978559613,0.010713862137246965
345,NUE,0.07269456164294134,0.05730150180656325
346,NVDA,0.7532703945352628,0.6458027306112728
347,NWL,0.05646987191127445,0.05102357321912314
348,NWS,-0.0006504759379506702,0.050294575757328173
349,NWSA,-0.004806480697497747,0.055041833308881793
350,O,0.029939865552712136,0.0265427299508502
351,OKE,0.14956054628606608,0.405103342122768
352,OMC,0.06770354788908148,0.031051350409507506
353,ORCL,0.07119265496682534,0.021917439425021994
354,ORLY,0.18612562280917566,0.05094050509045774
355,OXY,-0.03305521770047739,0.010519565445465978
356,PAYX,0.12566092093418849,0.020763457520624622
357,PBCT,0.0787541638995629,0.012307749741795564
358,PCAR,0.0862403544372415,0.057319629520748705
359,PCG,0.005602120535528508,0.04170482747503299
360,PCLN,0.1988431362102033,0.059611475570616315
361,PDCO,-0.01271104193199033,0.014396232449430552
362,PEG,0.08180110624189926,0.02184128335858794
363,PEP,0.08057272038413449,0.0060196235281292435
364,PFE,0.046614459157107685,0.004098849647908932
365,PFG,0.15847797840822764,0.07985401930443696
366,PG,0.020327280510185067,0.011795101777828929
367,PGR,0.1649995750951912,0.04983219273206994
368,PH,0.15303479506111675,0.09015712906135942
369,PHM,0.11112973186243254,0.12073253733999925
370,PKG,0.22969365287021082,0.08768948997669668
371,PKI,0.14886194895172966,0.023141317822774173
372,PLD,0.07977348241386158,0.02051333664008003
373,PM,0.02072894277808167,0.007642124915570386
374,PNC,0.1639609401238615,0.007753911717012502
375,PNR,0.08270818381527788,0.08292193110542524
376,PNW,0.06717592273682306,0.025649839350611336
377,PPG,0.10387354901519026,0.03925919271434886
378,PPL,0.0036243067756778816,0.011089979557410312
379,PRGO,0.0039027755814566717,0.07743137014459803
380,PRU,0.143663945346399,0.07353348434379442
381,PSA,0.043605324279787146,0.03612135363250392
382,PSX,0.07513680169357317,0.014196946385864795
383,PVH,0.07433722139077335,0.09734227725722004
384,PWR,0.07513171251278594,0.1307020453090649
385,PX,0.06820844717540468,0.03409398305901462
386,PXD,0.08830587882231174,0.08583728143470519
387,PYPL,0.32301546619429,0.1934625850112481
388,QCOM,0.015307817258013175,0.04435407800297363
389,QRVO,0.05397603807939736,0.050553640403367205
390,RCL,0.2715251853376907,0.10051415101275318
391,RE,0.13311779471620358,0.010800583319495152
392,REG,0.031255269717943075,0.03568655150130221
393,REGN,0.17593257383823166,0.1417507933642056
